title,id,coordinates,source_system_url,image_url,iiif_url
"Dorfansicht mit einem Reiter im Hintergrund, das Gebäude im Vordergrund ist vermutlich eine Wirtschaft",BibZug_TD_23_01797,,https://n2t.net/ark:/63274/bz1b643,https://zentralgut.ch/content/BibZug_TD_23_01797/800/0/TD_23_01797.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01797/pages/1/manifest
Das Haus der Zuger Kirschwasser-Gesellschaft,BibZug_TD_23_01803,"47.17139161687583, 8.512573795174392",https://n2t.net/ark:/63274/bz1pw5j,https://zentralgut.ch/content/BibZug_TD_23_01803/800/0/TD_23_01803.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01803/pages/1/manifest
Das Haus der Zuger Kirschwasser-Gesellschaft,BibZug_TD_23_01804,"47.17135697253091, 8.512549655295219",https://n2t.net/ark:/63274/bz1k62p,https://zentralgut.ch/content/BibZug_TD_23_01804/800/0/TD_23_01804.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01804/pages/1/manifest
"Portrait einer Familie im Winter,",BibZug_TD_23_01806,"47.159098517028134, 8.519169635261786",https://n2t.net/ark:/63274/bz15h04,https://zentralgut.ch/content/BibZug_TD_23_01806/800/0/TD_23_01806.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01806/pages/1/manifest
Portrait von drei jungen Frauen,BibZug_TD_23_01807,,https://n2t.net/ark:/63274/bz11p7j,https://zentralgut.ch/content/BibZug_TD_23_01807/800/0/TD_23_01807.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01807/pages/1/manifest
"Eine Kuh auf der Weide vor einem grösserem Bauernhaus im Hintergrund, Ort unbekannt",BibZug_TD_23_01808,,https://n2t.net/ark:/63274/bz1cd6j,https://zentralgut.ch/content/BibZug_TD_23_01808/800/0/TD_23_01808.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01808/pages/1/manifest
"Zwei Kühe auf der Weide vor einem grösserem Bauernhaus im Hintergrund, Ort unbekannt",BibZug_TD_23_01809,,https://n2t.net/ark:/63274/bz16q30,https://zentralgut.ch/content/BibZug_TD_23_01809/800/0/TD_23_01809.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01809/pages/1/manifest
Portrait einer jungen Frau in Zuger (?) Bauerntracht,BibZug_TD_23_01822,,https://n2t.net/ark:/63274/bz1gs75,https://zentralgut.ch/content/BibZug_TD_23_01822/800/0/TD_23_01822.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01822/pages/1/manifest
Portrait einer jungen Frau in Zuger (?) Bauerntracht,BibZug_TD_23_01823,,https://n2t.net/ark:/63274/bz1c045,https://zentralgut.ch/content/BibZug_TD_23_01823/800/0/TD_23_01823.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01823/pages/1/manifest
"Eine Ansicht von einem Dorf umgeben von Berghängen, möglicherweise im Engadin",BibZug_TD_23_01895,,https://n2t.net/ark:/63274/bz1q051,https://zentralgut.ch/content/BibZug_TD_23_01895/800/0/TD_23_01895.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01895/pages/1/manifest
"Eine Familie im Garten vor dem Haus, Ort unbekannt",BibZug_TD_23_01911,"46.8238672287, 8.03242286143",https://n2t.net/ark:/63274/bz10385,https://zentralgut.ch/content/BibZug_TD_23_01911/800/0/TD_23_01911.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01911/pages/1/manifest
Eine Gruppe Wanderer vor einem Bauernhaus,BibZug_TD_23_01952,,https://n2t.net/ark:/63274/bz1qm31,https://zentralgut.ch/content/BibZug_TD_23_01952/800/0/TD_23_01952.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01952/pages/1/manifest
Einige junge Frauen und ältere Herren mit Ziegen vor einem Bauernhaus,BibZug_TD_23_01964,,https://n2t.net/ark:/63274/bz1gx0s,https://zentralgut.ch/content/BibZug_TD_23_01964/800/0/TD_23_01964.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01964/pages/1/manifest
"Ein paar Frauen vor einem grossen Haus, im Vordergrund ist ein Garten zu sehen, Ort unbekannt",BibZug_TD_23_01983,,https://n2t.net/ark:/63274/bz1968d,https://zentralgut.ch/content/BibZug_TD_23_01983/800/0/TD_23_01983.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01983/pages/1/manifest
"Ein paar Frauen vor einem grossen Haus, im Vordergrund ist ein Garten zu sehen, Ort unbekannt",BibZug_TD_23_01984,,https://n2t.net/ark:/63274/bz1mh48,https://zentralgut.ch/content/BibZug_TD_23_01984/800/0/TD_23_01984.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01984/pages/1/manifest
Das Café de l'Université am Boulevard de Perolles 39 in Fribourg,BibZug_TD_23_01987,,https://n2t.net/ark:/63274/bz16g9t,https://zentralgut.ch/content/BibZug_TD_23_01987/800/0/TD_23_01987.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01987/pages/1/manifest
"Ein Dorf mit mehreren grösseren Gebäuden bei einem Hügel, Ort unbekannt",BibZug_TD_23_01988,,https://n2t.net/ark:/63274/bz12s8f,https://zentralgut.ch/content/BibZug_TD_23_01988/800/0/TD_23_01988.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01988/pages/1/manifest
"Eine Gruppe beim Eislaufen, Ort unbekannt, im Hintergrund Werbung des Buchbinder Trautwein (Trautwein Relieur), evtl. Fribourg",BibZug_TD_23_01989,,https://n2t.net/ark:/63274/bz1z05f,https://zentralgut.ch/content/BibZug_TD_23_01989/800/0/TD_23_01989.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01989/pages/1/manifest
"Eine Villa, Ort unbekannt",BibZug_TD_23_01994,,https://n2t.net/ark:/63274/bz1js9p,https://zentralgut.ch/content/BibZug_TD_23_01994/800/0/TD_23_01994.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01994/pages/1/manifest
"Kirche mit Strasse ins Dorf hinein, Ort unbekannt",BibZug_TD_23_02104,,https://n2t.net/ark:/63274/bz1xm0v,https://zentralgut.ch/content/BibZug_TD_23_02104/800/0/TD_23_02104.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02104/pages/1/manifest
"Eine Dorfstrasse mit dem Gasthof zur Krone im Hintergrund, Ortschaft unbekannt",BibZug_TD_23_02214,,https://n2t.net/ark:/63274/bz1mp97,https://zentralgut.ch/content/BibZug_TD_23_02214/800/0/TD_23_02214.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02214/pages/1/manifest
"Drei Wanderer vor einer Felswand, Ort unbekannt",BibZug_TD_23_02224,,https://n2t.net/ark:/63274/bz1b65h,https://zentralgut.ch/content/BibZug_TD_23_02224/800/0/TD_23_02224.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02224/pages/1/manifest
Drei Wanderer vor einer Felswand,BibZug_TD_23_02225,,https://n2t.net/ark:/63274/bz16h0g,https://zentralgut.ch/content/BibZug_TD_23_02225/800/0/TD_23_02225.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02225/pages/1/manifest
Dorfstrasse in Flühli LU,BibZug_TD_23_02226,"46.8839622897, 8.0158314465",https://n2t.net/ark:/63274/bz12p9q,https://zentralgut.ch/content/BibZug_TD_23_02226/800/0/TD_23_02226.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02226/pages/1/manifest
